obsid,uid,ra,dec,snrg,snrr,teff,logg,loghe
1609192,G17324886413113,12.603208,41.554102,44.09,73.26,38877±756,5.8±0.09,-3.78±0.72
2915216,G17208325040366,3.593379,28.615494,87.9,47.74,25646±290,5.26±0.03,-3.91±0.33
8503076,G16612319534015,86.197835,27.342228,32.41,33.88,49907±2694,5.43±0.13,-3.25±0.19
18602065,G16439735285474,147.446554,30.005919,38.5,48.58,37861±1119,5.1±0.11,-2.4±0.25
20204062,G15815923960949,166.744422,50.516959,104.61,141.54,24609±677,5.34±0.06,-3.93±0.5
21103229,G17125324456934,38.963972,1.312544,41.1,44.1,34476±1125,5.13±0.14,-3.03±0.4
27404060,L17344785584089,19.685237,31.983783,52.8,28.39,23219±843,5.73±0.06,-2.8±0.18
31907038,G16597061770719,89.682602,27.30565,41.65,46.19,40796±659,5.73±0.09,-1.42±0.07
36001140,G15005567337021,187.176036,25.830065,33.26,22.29,42323±815,6.23±0.08,-2.64±0.26
37003123,P15994853341282,100.15256,10.394144,45.92,28.04,21490±350,5.0±0.04,-2.12±0.06
37003187,G15998054011875,100.55307,9.502543,33.6,24.62,41328±615,6.08±0.07,-2.35±0.11
37103135,G15995286815232,100.7174,10.229534,30.97,31.84,37397±804,5.77±0.1,-2.18±0.19
37906217,G16201600049307,102.845,12.286806,25.36,12.88,22976±559,5.08±0.07,-4.0±0.6
39907177,G17514436604219,72.00852,39.478664,68.53,119.19,46999±6309,5.18±0.25,-3.5±0.66
43806088,G16202826636543,102.5053,17.196834,45.32,62.45,33492±515,5.36±0.07,-3.99±1.07
43806090,G16171668054401,102.05891,17.182305,33.15,38.77,33537±365,6.05±0.07,-2.7±0.17
44414059,L16005949403954,97.968833,5.031728,53.39,62.02,41574±572,5.1±0.08,-1.07±0.05
44715060,G15516127454547,168.693244,29.060081,50.34,65.94,37999±839,5.4±0.1,-3.9±0.93
46702057,G16185043922062,111.32651,5.398972,45.34,61.52,30984±778,5.11±0.12,-2.9±0.29
51403167,G11669684569951,236.41337,-1.026111,66.89,88.9,38248±1004,5.32±0.09,-3.7±0.54
52807211,G14041518894845,295.879025,38.150836,49.41,83.63,30000±326,5.97±0.06,-3.97±0.49
55907100,G12764527958654,332.693984,-3.675644,37.55,21.61,32271±197,6.1±0.04,-3.11±0.2
56902156,G17559478152478,31.439981,25.162471,25.73,23.44,29743±494,6.08±0.1,-3.85±0.8
56912028,G17574009991781,34.901199,28.692981,40.08,38.32,20000±783,5.49±0.13,-0.75±0.62
59503227,G17203071077189,9.113308,27.166863,86.09,73.71,37172±371,6.08±0.05,-2.9±0.28
60208009,G13441462390850,350.756397,22.600366,60.61,102.16,36910±703,5.47±0.08,-4.0±1.0
60215065,L13306268164201,349.012855,24.05517,49.02,92.75,33559±347,6.04±0.07,-3.38±0.42
67509195,G13392297826931,325.980261,2.689616,40.1,66.62,41777±1034,6.12±0.11,-2.74±0.32
67509197,G13392256781377,325.911905,2.980398,32.02,54.52,52573±1839,6.23±0.09,-3.6±0.28
68101128,G16659859340689,59.427506,1.25594,63.26,105.73,46719±1622,5.45±0.08,-3.7±0.18
72501250,G12648872746472,349.837854,-0.168844,26.05,20.74,32073±528,5.66±0.09,-2.87±0.31
74515238,G13444122113020,348.284196,13.039584,29.79,32.35,40068±933,5.9±0.1,-3.66±1.14
75308133,G13408117034376,335.711293,15.758321,97.21,173.12,30320±352,6.02±0.07,-3.5±0.3
75607040,G13363826979960,335.996718,5.458106,64.62,108.26,31961±332,6.17±0.07,-3.33±0.37
76513175,G13241585004180,347.414761,4.763906,42.42,50.77,32578±561,5.64±0.1,-3.06±0.34
83206133,L16087727081850,91.875994,37.903034,24.21,41.34,35585±633,5.52±0.09,-2.97±0.28
83413073,G10572630726338,148.47397,-5.889747,75.77,121.96,37291±914,5.1±0.08,-3.01±0.26
88602088,G9930545330095,109.99775,-2.323841,47.08,46.2,32381±1146,5.77±0.22,-2.61±0.51
88701115,G10119768444498,111.98773,-2.315956,19.73,13.11,20460±432,5.12±0.06,-3.22±0.32
88801157,G10119905759824,111.4606,-1.991271,118.05,153.14,27085±695,5.34±0.08,-3.63±0.31
89402213,G16627527205727,78.233618,30.931453,71.62,70.79,29092±446,5.52±0.07,-3.09±0.22
89515012,L16624506135758,79.755342,33.746257,38.82,38.9,24781±1017,5.0±0.11,-3.19±0.03
89516111,P16624042319075,79.080743,34.310177,33.37,38.75,43214±1102,5.26±0.14,-1.09±0.08
89715003,G16624482424783,79.390401,33.726845,15.45,24.64,38545±1038,5.1±0.18,-0.75±0.09
91901243,G16237860751772,114.49801,29.552271,18.07,26.6,34581±1083,5.14±0.15,-2.57±0.22
95915240,G16347649806751,142.154347,13.624223,33.96,48.06,33397±748,5.2±0.11,-3.26±0.42
96705040,L17550052851844,52.815425,41.727874,332.47,339.76,30813±1576,5.0±0.23,-1.96±0.18
101701119,L15545791942635,140.5853,1.049268,24.66,26.13,31045±767,5.15±0.12,-2.88±0.25
103405167,G15448052978088,170.977744,9.628229,68.89,78.44,38090±914,5.21±0.08,-3.39±0.47
105004116,G17127923327558,38.224241,3.249354,67.35,90.79,36810±610,5.9±0.09,-3.9±1.49
107616182,G17529521385419,53.920599,34.52191,42.3,52.01,31119±491,5.2±0.08,-2.6±0.1
108002164,G16511717821086,86.408732,18.964933,339.96,341.82,32421±1462,5.1±0.22,-2.12±0.27
108002165,G16511725246590,86.574647,18.836385,37.95,44.77,47155±1214,6.0±0.09,-2.37±0.21
108406173,G16919782461939,81.934917,50.677928,31.14,46.87,32857±443,5.66±0.08,-3.29±0.37
108414062,G16917544851430,75.839248,51.48238,230.63,321.12,35632±476,5.15±0.07,-1.56±0.07
108514165,G16917661859964,76.070392,52.013925,34.4,28.07,22462±480,5.05±0.06,-3.55±0.25
108907010,G16157412131122,106.66464,22.352846,128.37,156.28,29962±3061,5.1±0.37,-1.59±0.32
110910105,G15804675029118,101.52977,57.461316,28.57,32.17,32999±5161,5.58±0.97,-2.42±1.42
115709085,G11195778373930,214.401671,-4.574742,33.3,18.71,37661±288,5.76±0.05,-1.57±0.05
115715032,G11195788589182,213.941882,-4.588898,41.69,64.27,38652±652,5.85±0.08,-2.68±0.28
116309181,G16098120328808,90.467207,24.749451,19.77,26.7,34760±491,6.02±0.08,-3.26±0.41
120202216,L14942911515116,209.265601,14.65044,36.06,43.14,37379±641,6.15±0.09,-3.27±0.62
120803079,G15644113985333,171.275072,15.212196,64.21,71.21,32402±514,5.07±0.08,-3.85±0.9
123306179,G17467358315460,77.413444,38.848944,19.85,31.02,40313±795,5.61±0.08,-2.46±0.19
124608095,G16248012315700,114.84113,37.143034,44.06,58.21,23875±987,5.03±0.11,-3.05±0.26
125315069,G10047295955042,129.72298,-3.476679,32.99,30.67,38845±728,5.98±0.1,-3.69±1.65
129202202,G16200061286702,110.04285,8.662672,37.78,27.65,27600±641,5.73±0.08,-3.63±0.37
140103178,G15197713352848,220.385284,8.110771,65.02,71.03,36702±589,5.7±0.08,-3.22±0.6
140804146,G15392349470435,223.84763,36.016864,54.38,78.09,40083±968,5.9±0.1,-3.7±1.36
141204195,G10553503404246,148.741265,-0.721594,44.54,54.67,33683±584,5.66±0.1,-2.96±0.31
142014109,G14956648910031,205.413566,6.361704,45.68,62.88,34997±543,5.7±0.09,-2.74±0.23
142904053,G15058995617667,203.875128,14.413136,34.66,45.96,30738±484,5.23±0.07,-3.14±0.33
150302015,G15161117963049,206.582918,51.406664,43.83,48.99,24620±2256,5.1±0.25,-3.63±1.06
156913100,G17168162552039,34.166511,6.056501,65.27,100.14,38999±974,5.5±0.09,-3.64±0.71
157002178,L13429637948180,337.692672,10.648192,59.14,78.97,28723±980,5.1±0.13,-3.9±0.72
157202109,G14077508372886,293.769858,46.236897,37.02,32.51,34763±607,5.6±0.09,-3.14±0.31
157304177,G17586274631280,51.603061,35.552788,217.59,222.47,26418±1542,5.1±0.16,-2.98±0.3
157601120,G17232069815858,11.312052,25.610235,36.71,60.49,33714±820,5.33±0.12,-2.98±0.29
157616227,G17245903901087,9.337793,29.664015,60.55,76.93,38211±953,5.3±0.09,-3.67±0.6
158106165,G9422007631940,50.671608,-7.311202,46.55,26.65,37000±576,6.08±0.1,-4.04±0.82
158706037,G13207128405382,354.39028,4.859099,168.11,208.68,35107±848,5.1±0.09,-3.52±0.53
158814048,G14085377795037,296.611792,45.792369,38.95,61.78,42480±893,5.62±0.11,-1.38±0.08
158815078,G14066285021306,298.887375,46.879028,23.66,24.63,28298±613,5.62±0.09,-3.66±0.82
158915081,G14066060289135,298.491917,46.778778,22.32,18.38,23297±800,5.21±0.09,-3.7±0.55
159503092,G13231503378763,341.87129,3.551719,73.64,82.36,35862±577,5.7±0.09,-3.32±0.65
160710087,G13253268718867,350.35494,4.397054,59.02,74.74,36346±753,5.49±0.09,-3.39±0.66
160802166,G14071519206409,297.200667,44.540183,25.76,20.57,41995±724,6.16±0.1,-1.48±0.09
160815081,G14066241068030,298.547,46.782528,31.58,28.24,20955±439,5.18±0.06,-3.29±0.32
162301086,L14072819927905,297.234917,39.553778,32.21,67.84,30747±495,5.9±0.09,-3.76±0.32
162401169,G17440746527850,47.569312,20.028502,146.33,226.06,35794±690,5.31±0.08,-3.61±0.99
164102075,G17575231483538,34.975663,39.580464,55.54,80.74,39433±943,5.67±0.1,-3.7±0.6
164306246,G13323889497475,346.401764,34.698363,104.22,58.53,26938±280,5.1±0.03,-2.43±0.03
169402139,G17484473480225,64.302847,51.673208,33.2,42.86,29481±643,5.45±0.1,-3.3±0.33
170603015,L17403566188234,60.174191,23.64308,50.76,66.22,36747±499,5.6±0.07,-3.67±0.88
171010190,G16848568816150,4.219999,54.54659,45.83,66.55,39101±889,6.15±0.11,-3.43±0.8
171705174,G16733360865983,88.428156,21.873148,103.44,123.04,33311±1724,5.1±0.25,-1.69±0.2
172209184,G14178579898627,326.299669,41.597311,23.56,10.17,28000±525,5.89±0.08,-3.4±0.3
172215104,G14251159559266,324.471489,41.822288,26.99,20.83,30149±504,6.01±0.1,-3.49±0.62
174103061,G17054564667185,2.7787,8.17826,77.62,97.47,32975±661,5.1±0.1,-3.15±0.33
177001155,G17567000532324,35.74892,36.383514,18.29,31.49,40874±895,6.2±0.1,-2.72±0.38
177313159,L16094145822914,96.290881,36.077919,42.48,45.46,38790±833,5.4±0.1,-2.02±0.11
177902217,G16155083048825,107.52976,20.148934,42.82,25.38,31532±232,6.25±0.05,-3.6±0.56
178304112,L17181474169583,2.569348,40.203805,17.96,10.2,32765±420,5.83±0.09,-2.64±0.16
180212064,G14172977823193,348.876073,43.158041,35.49,51.51,26707±2133,5.78±0.17,-3.65±0.11
180312011,G17547563091978,37.381347,44.589916,65.92,81.06,29097±672,5.21±0.07,-3.62±0.7
180416167,G17364388019686,33.852729,44.479313,21.82,15.18,29027±346,5.7±0.06,-2.92±0.14
181213182,P9351478819751,83.772392,-4.727703,27.01,11.63,26999±1705,5.01±0.18,-1.42±0.11
181301130,G17058585465997,2.873953,3.328801,112.74,145.26,34238±823,5.1±0.1,-3.91±1.0
181316160,L17053051334342,1.280734,6.30415,92.71,110.7,39990±821,5.78±0.09,-3.7±0.92
181604165,G16229211398175,105.57857,47.040932,28.86,19.54,21027±430,5.7±0.06,-3.9±1.04
181701187,G16228756650699,106.81373,44.618201,29.35,21.48,25154±734,5.55±0.08,-3.35±0.28
181711084,G16230467427087,105.90867,48.706312,42.21,36.28,33311±696,5.15±0.1,-3.56±0.61
181901014,G17530516783100,57.588978,32.334431,38.75,40.83,23049±754,5.09±0.09,-3.01±0.2
182905124,G17048194190027,6.689338,3.15597,69.85,84.78,39796±735,6.03±0.08,-3.7±1.02
182907196,G17050731980212,7.925894,2.628941,59.03,68.62,30671±627,5.1±0.1,-4.04±0.62
185205027,G17480398512569,55.737374,45.077098,58.96,69.14,29852±661,5.0±0.09,-2.09±0.08
185209045,G17485355066544,57.336671,46.853394,31.17,28.07,28825±506,6.27±0.08,-3.86±0.86
185311053,G17488346131468,56.822945,47.6814,21.3,17.52,20767±634,5.32±0.08,-4.0±1.02
186208200,G17247342924141,12.256961,29.930729,93.93,90.37,34208±756,5.1±0.09,-3.51±0.47
187315172,G16085531003212,90.411349,35.020705,31.02,36.19,35240±417,5.28±0.07,-1.04±0.04
188009108,G17529352144106,54.273996,33.176992,34.64,44.03,27259±1126,5.06±0.12,-2.53±0.1
190216232,G17520326466392,63.349168,44.333752,16.47,10.69,30718±469,5.6±0.08,-2.0±0.07
190306135,G17522841115507,67.724762,41.803616,31.34,47.71,35707±602,6.24±0.1,-3.7±1.1
191914109,L15740477888052,91.466927,48.246506,122.08,83.51,46969±433,5.1±0.05,-1.01±0.03
192308116,G17193136431688,6.536535,37.305943,45.6,42.46,25258±1110,5.01±0.12,-3.18±0.26
194702205,G17498784395507,60.108643,32.235294,26.22,15.53,31002±246,5.82±0.05,-2.29±0.09
197002091,G14893215271859,181.796114,15.402541,38.86,39.13,39006±641,6.24±0.09,-3.54±0.68
197111177,G17322816483618,16.504578,42.021675,29.49,27.38,29728±657,5.13±0.1,-3.17±0.32
198609024,G17127429774891,38.807964,3.485625,35.99,40.36,34999±866,5.2±0.12,-3.96±1.37
200003112,L17396295215002,39.003512,8.913327,28.62,27.95,38983±762,6.14±0.11,-3.7±1.89
200206105,G16336989302580,123.87894,21.376283,30.79,38.36,32791±6444,5.3±1.03,-3.06±3.37
200315031,G15488083113408,162.972306,33.456123,125.99,160.17,35761±795,5.3±0.1,-3.97±2.01
200803142,G16352960650013,137.17027,18.551773,87.79,89.72,32602±637,5.1±0.1,-3.33±0.5
201610134,G16099408292553,93.722823,23.667083,28.35,23.31,26492±964,5.16±0.1,-3.28±0.23
202606111,G17334848724353,26.352429,27.157877,43.56,48.44,32308±878,5.1±0.13,-3.29±0.51
203512092,G17500948609776,62.586852,35.694329,42.15,47.1,51632±1730,5.78±0.09,-3.14±0.13
204902185,G16141103697264,92.269123,33.923667,76.0,92.04,27628±793,5.07±0.09,-3.62±0.45
204916191,G16087980687739,92.579451,36.836462,24.12,20.63,25000±777,5.21±0.08,-2.66±0.13
205102201,G10688479610337,160.849042,-4.040891,61.72,74.79,40707±799,6.0±0.09,-3.71±0.4
205110225,G10466527992317,160.533758,-2.292473,75.57,94.0,42313±1086,5.82±0.09,-4.0±0.78
205115048,G10464773121878,162.335731,-0.562961,54.17,54.44,27712±992,5.34±0.12,-3.6±0.51
206404048,G15547685740484,141.321686,3.497675,24.39,22.94,52363±3934,5.75±0.18,-3.7±2.95
206814227,G15428843370256,162.812674,0.452384,64.61,80.87,35999±790,5.32±0.1,-3.01±0.35
207115225,G9911061563332,92.110573,-5.341344,36.29,30.89,34430±459,5.0±0.08,-1.07±0.05
208716099,P16545659011805,80.427103,8.431806,22.61,17.85,36283±1010,5.1±0.18,-0.79±0.1
211802206,G17489657587705,62.130876,27.946457,40.2,48.74,33024±557,5.69±0.1,-3.23±0.35
214716224,G17527460246764,60.688036,28.077498,35.61,37.29,21684±745,5.2±0.1,-3.51±0.44
215611234,G16073611280381,122.94797,11.620904,83.49,92.51,32649±516,5.49±0.1,-2.89±0.23
